id_batiment,cluster_infra,type_batiment,nb_maisons,cout_total,cout_materiel,cout_main_oeuvre,duree_totale
E000358,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P008010', 'fourreau'): 7.57564714734482, ('P008012', 'aerien'): 2.80432575486411, ('P008013', 'fourreau'): 8.28759638847956, ('P000476', 'fourreau'): 4.08484495788828, ('P008016', 'fourreau'): 8.04338585809972, ('P000470', 'aerien'): 2.57224945914596, ('P008019', 'semi-aerien'): 4.16591671935325, ('P000464', 'fourreau'): 4.85875310412324, ('P000629', 'aerien'): 5.31366434867898, ('P007544', 'aerien'): 3.33630911377794}",habitation,4,86325.0540310878,73234.89579503142,13090.158236056377,10.35949548559945
E000359,"{('P006712', 'fourreau'): 12.5562775429942, ('P003802', 'aerien'): 12.5012019609488, ('P003870', 'aerien'): 6.48414270909882, ('P003881', 'aerien'): 5.48429532793334, ('P007637', 'aerien'): 11.4459140938685}",habitation,4,34306.39543081963,29258.42683461951,5047.968596200122,15.695346928742751
E000360,"{('P006950', 'fourreau'): 4.98657320364, ('P008033', 'fourreau'): 30.5368269197176, ('P004282', 'aerien'): 6.15148232447661, ('P007528', 'aerien'): 10.759672538483}",habitation,2,48355.61168035318,40426.63754250165,7928.974137851522,38.171033649647
E000361,"{('P006950', 'fourreau'): 4.98657320364, ('P008033', 'fourreau'): 30.5368269197176, ('P004271', 'fourreau'): 6.61138266761108, ('P007529', 'aerien'): 12.4769836838268}",habitation,1,52995.84190337885,44159.79635378521,8836.045549593638,38.171033649647
E000363,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P008010', 'fourreau'): 7.57564714734482, ('P008012', 'aerien'): 2.80432575486411, ('P008013', 'fourreau'): 8.28759638847956, ('P000476', 'fourreau'): 4.08484495788828, ('P008016', 'fourreau'): 8.04338585809972, ('P000470', 'aerien'): 2.57224945914596, ('P008019', 'semi-aerien'): 4.16591671935325, ('P000464', 'fourreau'): 4.85875310412324, ('P000462', 'fourreau'): 3.69477602082419, ('P000627', 'fourreau'): 4.90868168597643, ('P007645', 'aerien'): 3.03521930158189}",habitation,2,92452.83064473033,78170.63065071446,14282.199994015866,10.35949548559945
E000364,"{('P004862', 'aerien'): 8.82148724309171, ('P008031', 'aerien'): 10.978932377147, ('P007518', 'aerien'): 4.91814131725302}",habitation,5,14213.172539057745,12359.280468745865,1853.8920703118797,5.4894661885735
E000365,"{('P004862', 'aerien'): 8.82148724309171, ('P008031', 'aerien'): 10.978932377147, ('P007780', 'fourreau'): 9.91136244085116}",habitation,8,22163.847936062895,18820.4360068854,3343.411929177496,12.389203051063951
E000366,"{('P006712', 'fourreau'): 12.5562775429942, ('P003802', 'aerien'): 12.5012019609488, ('P003870', 'aerien'): 6.48414270909882, ('P003881', 'aerien'): 5.48429532793334, ('P003903', 'aerien'): 10.912493042733, ('P007478', 'semi-aerien'): 12.9024250386495}",habitation,2,45611.860861201276,38668.53508803889,6943.325773162385,15.695346928742751
E000367,"{('P006950', 'fourreau'): 4.98657320364, ('P008033', 'fourreau'): 30.5368269197176, ('P004282', 'aerien'): 6.15148232447661, ('P004284', 'aerien'): 5.44625644673519, ('P007564', 'aerien'): 7.13168893719009}",habitation,3,49401.11856648248,41335.77396522279,8065.344601259692,38.171033649647
E000368,"{('P006950', 'fourreau'): 4.98657320364, ('P008033', 'fourreau'): 30.5368269197176, ('P004282', 'aerien'): 6.15148232447661, ('P004284', 'aerien'): 5.44625644673519, ('P007609', 'aerien'): 7.79612855602243}",habitation,8,49783.17134731108,41667.99377463896,8115.177572672118,38.171033649647
