id_batiment,nb_maisons,infra_type,cluster_infra,cluster_infra_
E000003,1,a_remplacer,"{'P007113': 12.1935087083631, 'P007984': 30.0575979492587, 'P007823': 12.290282829583}",{'aerien': 54.541389487204796}
E000067,1,a_remplacer,"{'P006193': 12.1863879405322, 'P002851': 10.8032015604234, 'P007624': 4.10990474598487}","{'fourreau': 12.1863879405322, 'semi-aerien': 10.8032015604234, 'aerien': 4.10990474598487}"
E000085,1,a_remplacer,"{'P005500': 13.1420349052071, 'P007990': 18.7028610321555, 'P007447': 2.84535154473363}","{'aerien': 31.8448959373626, 'fourreau': 2.84535154473363}"
E000098,1,a_remplacer,"{'P005531': 14.8493095953268, 'P007639': 6.13280316452202}","{'aerien': 14.8493095953268, 'fourreau': 6.13280316452202}"
E000106,1,a_remplacer,"{'P005500': 13.1420349052071, 'P007990': 18.7028610321555, 'P001391': 7.63593644945982, 'P007752': 3.12835142463862}","{'aerien': 34.973247362001224, 'fourreau': 7.63593644945982}"
E000107,1,a_remplacer,"{'P005500': 13.1420349052071, 'P007990': 18.7028610321555, 'P001391': 7.63593644945982, 'P007689': 5.1037127857757}","{'aerien': 36.9486087231383, 'fourreau': 7.63593644945982}"
E000108,1,a_remplacer,"{'P005500': 13.1420349052071, 'P007991': 7.5088306175948, 'P007997': 30.1295771789513, 'P007476': 4.92849119929359}","{'aerien': 13.1420349052071, 'fourreau': 42.56689899583969}"
E000109,1,a_remplacer,"{'P005500': 13.1420349052071, 'P007991': 7.5088306175948, 'P007997': 30.1295771789513, 'P007572': 5.62700791605979}","{'aerien': 18.76904282126689, 'fourreau': 37.638407796546105}"
E000110,1,a_remplacer,"{'P005500': 13.1420349052071, 'P007991': 7.5088306175948, 'P007998': 37.0636340148083, 'P007554': 8.72690474251765}","{'aerien': 50.2056689200154, 'fourreau': 16.23573536011245}"
E000111,1,a_remplacer,"{'P005770': 13.8935987811649, 'P007985': 10.4897301634131, 'P007813': 1.36523196955369}","{'aerien': 24.383328944578, 'fourreau': 1.36523196955369}"
E000112,1,a_remplacer,"{'P005664': 12.9108403618454, 'P007448': 7.9742290455672}",{'aerien': 20.8850694074126}
E000127,1,a_remplacer,"{'P005117': 13.2627025810985, 'P000873': 5.46510947034025, 'P007790': 5.85611808756648}","{'aerien': 18.72781205143875, 'fourreau': 5.85611808756648}"
E000128,1,a_remplacer,"{'P005317': 11.95171127553, 'P001156': 13.4887076792516, 'P007679': 4.5706986139249}","{'aerien': 25.4404189547816, 'semi-aerien': 4.5706986139249}"
E000129,1,a_remplacer,"{'P005317': 11.95171127553, 'P007999': 42.1144223056854, 'P007485': 5.64944506755882}","{'aerien': 54.066133581215404, 'semi-aerien': 5.64944506755882}"
E000144,1,a_remplacer,"{'P005117': 13.2627025810985, 'P008002': 12.5346743139761, 'P008006': 17.9528543234573, 'P007737': 4.66009795790718}","{'aerien': 31.215556904555797, 'fourreau': 17.19477227188328}"
E000145,1,a_remplacer,"{'P005117': 13.2627025810985, 'P008002': 12.5346743139761, 'P008007': 6.84639309859005, 'P007638': 5.10207355361142}","{'aerien': 20.10909567968855, 'fourreau': 17.63674786758752}"
E000146,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P000644': 5.79686473036686, 'P007802': 4.65316558492902}","{'aerien': 43.34373287532563, 'semi-aerien': 4.65316558492902}"
E000160,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008005': 8.40245186934037, 'P000723': 13.1599422339419, 'P000600': 9.68226549663264, 'P007641': 6.69156313094176}",{'aerien': 75.48309087581544}
E000161,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008005': 8.40245186934037, 'P008009': 25.2059107325926, 'P000604': 4.98282106064181, 'P007580': 8.43108274854405}","{'aerien': 71.15523074689173, 'semi-aerien': 4.98282106064181, 'fourreau': 8.43108274854405}"
E000174,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008005': 8.40245186934037, 'P000723': 13.1599422339419, 'P008008': 34.1154172411379, 'P008021': 14.9117118858221, 'P007785': 8.13675729756796}",{'aerien': 116.273148672769}
E000175,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008005': 8.40245186934037, 'P000723': 13.1599422339419, 'P008008': 34.1154172411379, 'P008022': 34.8372572653182, 'P007595': 10.0082136912815}","{'aerien': 128.06193675469711, 'semi-aerien': 10.0082136912815}"
E000176,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008005': 8.40245186934037, 'P008009': 25.2059107325926, 'P008015': 34.6108377868067, 'P008023': 11.2796548571624, 'P007562': 10.7507961303452}","{'aerien': 71.15523074689173, 'fourreau': 45.3616339171519, 'semi-aerien': 11.2796548571624}"
E000177,1,a_remplacer,"{'P005100': 6.25975675306654, 'P000732': 10.7871386086093, 'P008001': 9.80181343246892, 'P000719': 10.698159350814, 'P008005': 8.40245186934037, 'P008009': 25.2059107325926, 'P008015': 34.6108377868067, 'P008024': 18.3100645954404, 'P007566': 6.60727277655205}","{'aerien': 71.15523074689173, 'fourreau': 59.52817515879915}"
